SHREE RENUKA SUGARS LTD,RENUKA,35
REPCO HOME FINANCE LTD,REPCOHOME,50
RESPONSIVE INDUSTRIES LTD,RESPONIND,35
RHI MAGNESITA INDIA LTD,RHIM,50
RICO AUTO INDUSTRIES LTD,RICOAUTO,50
RELIANCE INDUSTRIAL INFRA,RIIL,55
RITES LIMITED,RITES,60
RAMKRISHNA FORGINGS LTD,RKFORGE,60
ROLEX RINGS LIMITED,ROLEXRINGS,45
ROSSARI BIOTECH LIMITED,ROSSARI,55
ROUTE MOBILE LIMITED,ROUTE,60
R R KABEL LIMITED,RRKABEL,35
RSWM LIMITED,RSWM,55
R SYS INTERNATIONAL LTD,RSYSTEMS,30
SAFARI IND (INDIA) LTD,SAFARI,65
STEEL AUTHORITY OF INDIA,SAIL,60
SALASAR TECHNO ENGG. LTD.,SALASAR,45
SAMMAAN CAPITAL LIMITED,SAMMAANCAP,35
SANGHVI MOVERS LTD,SANGHVIMOV,50
SANSERA ENGINEERING LTD,SANSERA,55
SAPPHIRE FOODS INDIA LTD,SAPPHIRE,60
